,UUID,Name,Manufacturer,Protocols Referenced,Verified
590586,pCLhCZIBPBHhf-iFeOQs,pierce bca protein assay kit,Thermo Fisher Scientific,8948,No
579063,gSLhCZIBPBHhf-iFeNAp,prism software,GraphPad,8870,No
726746,ISLhCZIBPBHhf-iFeNYq,matrigel,Corning,8653,No
726537,SSLhCZIBPBHhf-iFeNwr,nanodrop,Thermo Fisher Scientific,8392,No
590591,fSLhCZIBPBHhf-iFeM4p,bca protein assay kit,Thermo Fisher Scientific,8374,No
790623,6yLhCZIBPBHhf-iFeNAp,streptomycin,Merck Group,8260,No
580992,fyLhCZIBPBHhf-iFeM8p,2100 bioanalyzer,Agilent Technologies,8194,No
579007,RSLhCZIBPBHhf-iFeOgs,spss version 25,IBM,7948,No
890127,wzLiCZIBPBHhf-iFv9bQ,las 4000,Cytiva,7891,Yes
790325,syLhCZIBPBHhf-iFeOos,methanol,Merck Group,7856,No
790719,6iLhCZIBPBHhf-iFeNAp,penicillin,Merck Group,7834,No
571858,EiLhCZIBPBHhf-iFeOAr,lightcycler 480,Roche,7708,No
793062,uSLhCZIBPBHhf-iFeM8p,novaseq 6000,Illumina,7698,No
790304,VyLhCZIBPBHhf-iFeOQr,spss 22,IBM,7633,No
790250,siLhCZIBPBHhf-iFeNQq,phosphate buffered saline (pbs),Thermo Fisher Scientific,7600,No
571701,DiLhCZIBPBHhf-iFeNEp,qiaamp dna mini kit,Qiagen,7563,No
578998,PiLhCZIBPBHhf-iFeNMq,trypsin edta,Thermo Fisher Scientific,7300,No
591018,wyLhCZIBPBHhf-iFeM4p,lipofectamine 2000 reagent,Thermo Fisher Scientific,7256,No
790725,PSLhCZIBPBHhf-iFeNYq,propidium iodide,Merck Group,7211,No
791101,MCLhCZIBPBHhf-iFeM4p,lipopolysaccharides (lps),Merck Group,7203,No
591332,xyLhCZIBPBHhf-iFeOEr,sybr green pcr master mix,Thermo Fisher Scientific,7182,No
590710,5SLhCZIBPBHhf-iFeNAp,rneasy plus mini kit,Qiagen,7097,No
571808,YiLhCZIBPBHhf-iFeNIp,revertaid first strand cdna synthesis kit,Thermo Fisher Scientific,7051,No
572925,hSPhCZIBPBHhf-iFqymZ,hoechst 33342,Thermo Fisher Scientific,7040,No
637328,ESLhCZIBPBHhf-iFeNEp,miseq platform,Illumina,7007,No
579047,FSLhCZIBPBHhf-iFeM4p,penicillin streptomycin,Merck Group,6987,No
590700,YiLhCZIBPBHhf-iFeNkq,dneasy blood and tissue kit,Qiagen,6960,No
637959,UiLhCZIBPBHhf-iFeNsq,microplate reader,Agilent Technologies,6925,No
590338,NCLhCZIBPBHhf-iFeNAp,β actin,Merck Group,6886,No
579001,bCLhCZIBPBHhf-iFeNUq,spss version 21,IBM,6859,No
577639,yCLhCZIBPBHhf-iFeOYs,ripa lysis buffer,Beyotime,6808,No
591343,sSLhCZIBPBHhf-iFeM8p,alexa fluor 488,Thermo Fisher Scientific,6806,No
638134,FiLhCZIBPBHhf-iFeOMr,microplate reader,Bio-Rad,6794,No
790269,vyLhCZIBPBHhf-iFeN4r,trypsin,Thermo Fisher Scientific,6705,No
790310,XSLhCZIBPBHhf-iFnfMu,spss 20,IBM,6611,No
590693,EiLhCZIBPBHhf-iFeM8p,nanodrop 2000 spectrophotometer,Thermo Fisher Scientific,6577,No
790277,qyLhCZIBPBHhf-iFeNUq,paraformaldehyde (pfa),Merck Group,6543,No
591135,0SLhCZIBPBHhf-iFeNsr,bca protein assay kit,Beyotime,6536,No
591033,riLhCZIBPBHhf-iFeNAp,sybr premix ex taq,Takara Bio,6481,No
726516,UCLhCZIBPBHhf-iFeNAp,nanodrop spectrophotometer,Thermo Fisher Scientific,6460,No
790397,7yLhCZIBPBHhf-iFeN0r,dulbecco modified eagle medium (dmem),Merck Group,6435,No
790743,zSLhCZIBPBHhf-iFeM8p,lsrfortessa,BD,6355,No
590347,7CLhCZIBPBHhf-iFeOks,β actin,Cell Signaling Technology,6244,No
791041,VSLhCZIBPBHhf-iFeNUq,polybrene,Merck Group,6164,No
790535,LSLhCZIBPBHhf-iFeM4p,dexamethasone (dex),Merck Group,6140,No
790562,kiLhCZIBPBHhf-iFeO4t,dulbecco s modified eagle s medium,Thermo Fisher Scientific,6078,No
791871,bp3FHJMBdNj1hjtA0n5d,sas software,SAS Institute,6040,No
790338,bCLhCZIBPBHhf-iFeOIr,sodium hydroxide (naoh),Merck Group,5915,No
571723,nyLhCZIBPBHhf-iFeM4p,superscript 3 reverse transcriptase,Thermo Fisher Scientific,5866,No
579009,_iLhCZIBPBHhf-iFeNcq,spss version 23,IBM,5853,No
592813,QSLhCZIBPBHhf-iFeNEp,mirneasy mini kit,Qiagen,5779,No
577972,-iLhCZIBPBHhf-iFeM8p,zetasizer nano z,Malvern Panalytical,5740,No
573885,yCLhCZIBPBHhf-iFeNoq,nextseq 500,Illumina,5724,No
872920,6SLhCZIBPBHhf-iFeNgq,c57bl 6j mice,Jackson ImmunoResearch,5692,No
590704,lSLhCZIBPBHhf-iFeOgs,dneasy blood tissue kit,Qiagen,5685,No
637644,myLhCZIBPBHhf-iFeM4p,spss statistics for window,IBM,5670,No
571517,5SLhCZIBPBHhf-iFeM8p,hiseq 4000,Illumina,5649,No
590645,-SLhCZIBPBHhf-iFeNYq,power sybr green pcr master mix,Thermo Fisher Scientific,5634,No
425358,USLhCZIBPBHhf-iFnfku,spss version 26,IBM,5610,No
793381,SSLhCZIBPBHhf-iFeNYq,puromycin,Merck Group,5590,No
731937,NCLhCZIBPBHhf-iFeNMq,gapdh,Cell Signaling Technology,5572,No
790286,gyLhCZIBPBHhf-iFeOUs,fetal calf serum (fcs),Thermo Fisher Scientific,5506,No
726520,byLhCZIBPBHhf-iFeNYq,taqman gene expression assay,Thermo Fisher Scientific,5455,No
790800,FiLhCZIBPBHhf-iFeM8p,l glutamine,Merck Group,5443,No
579014,9yLhCZIBPBHhf-iFeN4r,crystal violet,Merck Group,5440,No
572585,qiLhCZIBPBHhf-iFeOks,tri reagent,Merck Group,5439,No
579045,qCLhCZIBPBHhf-iFnfov,facsdiva software,BD,5426,No
572903,ziLhCZIBPBHhf-iFeOss,dnase 1,Thermo Fisher Scientific,5400,No
637350,hSLhCZIBPBHhf-iFeM8p,fluorescence microscope,Olympus,5377,No
751553,AiLhCZIBPBHhf-iFeO0t,cell counting kit 8 (cck8),Dojindo Laboratories,5369,No
890121,TzbiCZIBPBHhf-iF6RA_,amersham imager,Cytiva,5320,Yes
572921,hJ3FHJMBdNj1hjtA0nhb,sas v9,SAS Institute,5311,No
790617,5yLhCZIBPBHhf-iFeNEp,acetonitrile,Merck Group,5292,No
790058,uyLhCZIBPBHhf-iFeNcq,pvdf membrane,Bio-Rad,5237,No
592835,SiLhCZIBPBHhf-iFeNAp,quantitect reverse transcription kit,Qiagen,5231,No
571903,7CLhCZIBPBHhf-iFeM0p,lsm 710,Zeiss,5147,No
579390,HCLhCZIBPBHhf-iFeOcs,primescript rt reagent kit with gdna eraser,Takara Bio,5120,No
790954,ByLhCZIBPBHhf-iFeN8r,cellquest software,BD,5116,No
579052,mpoOdZQB1-hLfrUP8SXq,mda mb 231,American Type Culture Collection,5102,No
590350,8SLhCZIBPBHhf-iFeNQq,β actin,Santa Cruz Biotechnology,5071,No
790776,XiLhCZIBPBHhf-iFeM8p,primescript rt master mix,Takara Bio,5054,No
790057,ZCLhCZIBPBHhf-iFeN0r,nitrocellulose membrane,Bio-Rad,5040,No
637827,zyLhCZIBPBHhf-iFeM8p,trizol reagent,Takara Bio,5030,No
790698,m5oOdZQB1-hLfrUP8SXq,mcf 7,American Type Culture Collection,5027,No
790487,8p3FHJMBdNj1hjtAk1tu,stata 14,StataCorp,5026,No
790356,xiLhCZIBPBHhf-iFeM0p,spss 21,IBM,4987,No
790288,5yLhCZIBPBHhf-iFnfYu,phosphate buffered saline (pbs),Merck Group,4985,No
579008,ZiPhCZIBPBHhf-iFqzea,spss version 24,IBM,4983,No
790302,KiPhCZIBPBHhf-iFqx6Y,non essential amino acids (neaa),Thermo Fisher Scientific,4961,No
790862,zCLhCZIBPBHhf-iFeNQq,insulin,Merck Group,4936,No
592712,6CLhCZIBPBHhf-iFeNEp,formic acid,Merck Group,4933,No
579004,ziLhCZIBPBHhf-iFeNsr,spss version 19,IBM,4907,No
790468,VyLhCZIBPBHhf-iFeM8p,superscript 3,Thermo Fisher Scientific,4906,No
790247,pSLhCZIBPBHhf-iFeNwr,r version 3,R Project for Statistical Computing,4892,No
590617,biLhCZIBPBHhf-iFeNIq,7500 real time pcr system,Thermo Fisher Scientific,4866,No
571823,GyLhCZIBPBHhf-iFeNkq,rneasy micro kit,Qiagen,4852,No
790283,6SLhCZIBPBHhf-iFeNEp,ethanol,Merck Group,4825,No
790279,zyLhCZIBPBHhf-iFeO8t,hydrochloric acid (hcl),Merck Group,4825,No
571728,XyLhCZIBPBHhf-iFeM8p,sybr premix ex taq 2,Takara Bio,4820,No
592718,DSLhCZIBPBHhf-iFeNAp,qubit 2.0 fluorometer,Thermo Fisher Scientific,4819,No
639027,yZ3FHJMBdNj1hjtAk1tu,stata,StataCorp,4799,No
579803,5yLhCZIBPBHhf-iFeNUq,image lab software,Bio-Rad,4753,No
571695,wiLhCZIBPBHhf-iFnf4v,nanodrop nd 1000 spectrophotometer,Thermo Fisher Scientific,4751,No
592849,fyLhCZIBPBHhf-iFeNsq,odyssey infrared imaging system,LI COR,4731,No
571504,PCLhCZIBPBHhf-iFeM4p,facsaria 2,BD,4727,No
726844,0CLhCZIBPBHhf-iFeNMq,polyvinylidene difluoride membrane,Merck Group,4719,No
579141,9yLhCZIBPBHhf-iFeM0p,iq sybr green supermix,Bio-Rad,4678,No
790314,pCLhCZIBPBHhf-iFeOYs,sodium chloride (nacl),Merck Group,4671,No
572905,iCLhCZIBPBHhf-iFeOcs,spss 19,IBM,4657,No
637244,LiLhCZIBPBHhf-iFeM4p,qiaquick pcr purification kit,Qiagen,4582,No
592737,KyLhCZIBPBHhf-iFeM4p,ascorbic acid,Merck Group,4565,No
579015,iCLhCZIBPBHhf-iFeNAp,accuri c6,BD,4516,No
726551,xCLhCZIBPBHhf-iFeOcs,microplate reader,Thermo Fisher Scientific,4490,No
779491,LSLhCZIBPBHhf-iFeNAp,ripa buffer,Beyotime,4458,No
572919,YyLhCZIBPBHhf-iFnfQu,image pro plus 6,Media Cybernetics,4438,No
571725,OiPhCZIBPBHhf-iFnQIv,dulbecco s modified eagle s medium dmem,Thermo Fisher Scientific,4408,No
579365,4SLhCZIBPBHhf-iFnfcu,spss statistical software,IBM,4399,No
579071,ZiLhCZIBPBHhf-iFeOIr,sodium pyruvate,Thermo Fisher Scientific,4375,No
792708,iiLhCZIBPBHhf-iFeNEp,rnaiso plus,Takara Bio,4358,No
790361,KSPhCZIBPBHhf-iFqx6Y,hepes,Thermo Fisher Scientific,4332,No
590579,KSLhCZIBPBHhf-iFeNoq,7500 fast real time pcr system,Thermo Fisher Scientific,4300,No
592774,QiLhCZIBPBHhf-iFeOIr,dmem medium,Thermo Fisher Scientific,4294,No
726585,uSLhCZIBPBHhf-iFeNgq,protease inhibitor,Roche,4287,No
637811,DSLhCZIBPBHhf-iFeM8p,cfx96 real time pcr detection system,Bio-Rad,4278,No
592731,QiLhCZIBPBHhf-iFnfUu,lipofectamine 3000 reagent,Thermo Fisher Scientific,4275,No
790317,hyLhCZIBPBHhf-iFePEt,spss 25,IBM,4272,No
637650,DSLhCZIBPBHhf-iFeNQq,transwell chamber,Corning,4249,No
571506,nSLhCZIBPBHhf-iFeOAr,facscanto 2 flow cytometer,BD,4214,No
579019,SSPhCZIBPBHhf-iFnRUx,spss version 17,IBM,4196,No
872709,JyLhCZIBPBHhf-iFeNAp,c57bl 6j,Jackson ImmunoResearch,4187,No
571710,uSLhCZIBPBHhf-iFeOEr,cfx96 real time system,Bio-Rad,4165,No
573008,UCLhCZIBPBHhf-iFeM8p,dnase 1,Merck Group,4163,No
790453,BCLhCZIBPBHhf-iFeN0r,ripa buffer,Merck Group,4162,No
591333,FCLhCZIBPBHhf-iFeNMq,spss statistics 22,IBM,4160,No
425365,AZ3FHJMBdNj1hjtAk1xu,stata version 14,StataCorp,4134,No
890128,sCLhCZIBPBHhf-iFeNQq,protran,Cytiva,4113,Yes
583926,0CLhCZIBPBHhf-iFeN8r,quantity one software,Bio-Rad,4089,No
571922,ECLhCZIBPBHhf-iFeNkq,lsm 700,Zeiss,4063,No
590587,uCLhCZIBPBHhf-iFeNMq,complete protease inhibitor cocktail,Roche,4055,No
790486,0Z3FHJMBdNj1hjtAk1tu,stata 15,StataCorp,4034,No
873173,oyLhCZIBPBHhf-iFeOEr,c57bl 6 mice,Jackson ImmunoResearch,4025,No
572050,gyLhCZIBPBHhf-iFeNMq,facsaria,BD,4019,No
571825,gCLhCZIBPBHhf-iFeM0p,lsrii flow cytometer,BD,4014,No
571724,BCLhCZIBPBHhf-iFeNAp,superscript 2 reverse transcriptase,Thermo Fisher Scientific,4007,No
591040,ASLhCZIBPBHhf-iFeOcs,chemidoc mp imaging system,Bio-Rad,3985,No
790609,4Z3FHJMBdNj1hjtAk1tu,stata 12,StataCorp,3935,No
726727,LyLhCZIBPBHhf-iFeNAp,polyvinylidene fluoride membrane,Merck Group,3925,No
572557,vyLhCZIBPBHhf-iFeNQq,hek293t,American Type Culture Collection,3880,No
781552,UiLhCZIBPBHhf-iFeM0p,bradford assay,Bio-Rad,3878,No
591361,KiLhCZIBPBHhf-iFeNAp,itaq universal sybr green supermix,Bio-Rad,3854,No
726513,5iLhCZIBPBHhf-iFeOAr,ripa buffer,Thermo Fisher Scientific,3850,No
790369,LSLhCZIBPBHhf-iFeNMq,rnalater,Thermo Fisher Scientific,3844,No
579018,cyPhCZIBPBHhf-iFtEXH,spss version 16,IBM,3842,No
591021,ZyLhCZIBPBHhf-iFeOMr,lipofectamine 2000 transfection reagent,Thermo Fisher Scientific,3831,No
572005,qyLhCZIBPBHhf-iFeM4p,m mlv reverse transcriptase,Promega,3814,No
790318,7iLhCZIBPBHhf-iFeNwr,epidermal growth factor (egf),Thermo Fisher Scientific,3814,No
579159,WyLhCZIBPBHhf-iFePEt,lsm 880,Zeiss,3798,No
591335,8yLhCZIBPBHhf-iFeOUs,spss statistics 25,IBM,3792,No
727685,bCLhCZIBPBHhf-iFeM8p,vectashield,Vector Laboratories,3789,No
592865,aSLhCZIBPBHhf-iFeOUs,bx51 microscope,Olympus,3784,No
590711,WiLhCZIBPBHhf-iFeOMr,rneasy plant mini kit,Qiagen,3781,No
571880,GyLhCZIBPBHhf-iFeOMr,powerup sybr green master mix,Thermo Fisher Scientific,3763,No
591334,lCLhCZIBPBHhf-iFeNYq,spss statistics 20,IBM,3755,No
790425,8CLhCZIBPBHhf-iFeN0r,trypsin,Merck Group,3740,No
571487,eyLhCZIBPBHhf-iFeNYq,sybr green master mix,Thermo Fisher Scientific,3738,No
590718,_iLhCZIBPBHhf-iFeOUs,qiaamp dna blood mini kit,Qiagen,3722,No
790700,A53FHJMBdNj1hjtAk1xu,stata 13,StataCorp,3709,No
590701,9yLhCZIBPBHhf-iFeNMq,rpmi 1640 medium,Merck Group,3704,No
790497,ViLhCZIBPBHhf-iFnf0v,cycloheximide (chx),Merck Group,3702,No
591027,ICLhCZIBPBHhf-iFeNsq,accuri c6 flow cytometer,BD,3652,No
791751,VyLhCZIBPBHhf-iFnfwv,4 6 diamidino 2 phenylindole (dapi),Beyotime,3645,No
583900,zyLhCZIBPBHhf-iFeNsr,r software,R Project for Statistical Computing,3634,No
731958,ICLhCZIBPBHhf-iFeOIr,c57bl 6 mice,Charles River Laboratories,3627,No
791033,NCLhCZIBPBHhf-iFeM4p,ionomycin,Merck Group,3612,No
592738,0iLhCZIBPBHhf-iFeNQq,gallic acid,Merck Group,3609,No
571515,tyLhCZIBPBHhf-iFeNEp,facsaria 3,BD,3605,No
792170,-yLhCZIBPBHhf-iFeNkq,s 4800,Hitachi,3602,No
571877,ByLhCZIBPBHhf-iFnfsv,prism v8,GraphPad,3598,No
572244,7iLhCZIBPBHhf-iFeNQq,cleaved caspase 3,Cell Signaling Technology,3596,No
790678,MyLhCZIBPBHhf-iFeM4p,phorbol myristate acetate (pma),Merck Group,3591,No
790348,QiLhCZIBPBHhf-iFeOgs,spss 23,IBM,3579,No
592971,7yLhCZIBPBHhf-iFeOcs,in situ cell death detection kit,Roche,3572,No
592763,DSLhCZIBPBHhf-iFnfsv,cfx96 touch real time pcr detection system,Bio-Rad,3571,No
572888,HiLhCZIBPBHhf-iFeM8p,prism 4,GraphPad,3570,No
592716,VyLhCZIBPBHhf-iFnfQu,acetic acid,Merck Group,3557,No
731933,dCLhCZIBPBHhf-iFeNEp,cck 8,Dojindo Laboratories,3556,No
577768,QyLhCZIBPBHhf-iFeOUs,synergy ht,Agilent Technologies,3550,No
579075,VSLhCZIBPBHhf-iFnfQu,tcs sp8,Leica,3513,No
890124,zyPhCZIBPBHhf-iF0fU0,amersham ecl,Cytiva,3506,Yes
591026,PSLhCZIBPBHhf-iFeOws,lipofectamine rnaimax reagent,Thermo Fisher Scientific,3502,No
591019,FiPhCZIBPBHhf-iFnQkw,purelink rna mini kit,Thermo Fisher Scientific,3471,No
592713,UiLhCZIBPBHhf-iFeNAp,antibiotic antimycotic,Thermo Fisher Scientific,3469,No
572982,uZoOdZQB1-hLfrUP8SXu,hct116,American Type Culture Collection,3458,No
790543,cyLhCZIBPBHhf-iFeNEp,sas software version 9,SAS Institute,3458,No
572930,3CLhCZIBPBHhf-iFeNcq,spss version 18,IBM,3439,No
790371,qCPhCZIBPBHhf-iFnQcw,spss 26,IBM,3436,No
592727,uSLhCZIBPBHhf-iFeM4p,qubit fluorometer,Thermo Fisher Scientific,3410,No
790307,QiLhCZIBPBHhf-iFeNcq,hanks balanced salt solution (hbss),Thermo Fisher Scientific,3406,No
593019,_SLhCZIBPBHhf-iFeNkq,d8 advance,Bruker,3394,No
579437,jCLhCZIBPBHhf-iFeM0p,rpmi 1640,Merck Group,3389,No
791395,9yLhCZIBPBHhf-iFeM4p,tamoxifen,Merck Group,3381,No
571884,vSLhCZIBPBHhf-iFnfwv,pen strep,Thermo Fisher Scientific,3363,No
572914,zCPhCZIBPBHhf-iFqyeZ,spss v22,IBM,3348,No
592726,HCLhCZIBPBHhf-iFeNsq,superscript 3 first strand synthesis system,Thermo Fisher Scientific,3347,No
876680,cSPhCZIBPBHhf-iFnQQw,gapdh,Santa Cruz Biotechnology,3335,No
590625,hCLhCZIBPBHhf-iFeOAr,qiaamp viral rna mini kit,Qiagen,3312,No
591052,EiLhCZIBPBHhf-iFeNEp,hiseq 2500 platform,Illumina,3308,No
726837,OSLhCZIBPBHhf-iFeM8p,qiaquick gel extraction kit,Qiagen,3307,No
580128,0CLhCZIBPBHhf-iFeNkq,synergy h1,Agilent Technologies,3304,No
890111,7CPhCZIBPBHhf-iFy9rk,biacore t200,Cytiva,3299,Yes
801053,EiLhCZIBPBHhf-iFeNAp,bioanalyzer,Agilent Technologies,3289,No
571934,NiLhCZIBPBHhf-iFeN4r,lsm 780,Zeiss,3264,No
571688,pCLhCZIBPBHhf-iFeN4r,anti β actin,Merck Group,3256,No
751896,syLhCZIBPBHhf-iFeNkq,dnase 1,Roche,3249,No
591023,BSLhCZIBPBHhf-iFeM8p,nanodrop 1000 spectrophotometer,Thermo Fisher Scientific,3243,No
637230,RSLhCZIBPBHhf-iFeNMq,fv1000,Olympus,3240,No
572902,wyPhCZIBPBHhf-iFnQow,sybr green,Thermo Fisher Scientific,3216,No
790508,5yLhCZIBPBHhf-iFeNoq,poly l lysine (pll),Merck Group,3215,No
571801,iyLhCZIBPBHhf-iFeNkq,viia 7 real time pcr system,Thermo Fisher Scientific,3214,No
571807,FCLhCZIBPBHhf-iFnfwv,b27 supplement,Thermo Fisher Scientific,3208,No
790287,giLhCZIBPBHhf-iFnfwv,minimum essential medium (mem),Thermo Fisher Scientific,3208,No
591356,hCLhCZIBPBHhf-iFnfku,spss statistics software,IBM,3200,No
726526,SCLhCZIBPBHhf-iFnfIu,bca assay,Thermo Fisher Scientific,3195,No
591531,KiLhCZIBPBHhf-iFeM8p,cell counting kit 8 cck 8,Dojindo Laboratories,3182,No
591020,cCLhCZIBPBHhf-iFnfgu,lipofectamine rnaimax transfection reagent,Thermo Fisher Scientific,3166,No
890084,nM-lhYojNLhculrBi1CN,hiprep,Cytiva,3162,Yes
792947,dCLhCZIBPBHhf-iFeOMr,hoechst 33342,Merck Group,3157,No
790723,FSLhCZIBPBHhf-iFeOks,chloroform,Merck Group,3146,No
790492,9yLhCZIBPBHhf-iFeOMr,puromycin,Thermo Fisher Scientific,3137,No
476897,YiLhCZIBPBHhf-iFeNoq,spss statistics version 25,IBM,3132,No
591338,oiLhCZIBPBHhf-iFeM4p,taqman universal pcr master mix,Thermo Fisher Scientific,3128,No
591042,OCPhCZIBPBHhf-iFnRMx,chemidoc xrs system,Bio-Rad,3124,No
637869,ViLhCZIBPBHhf-iFeNQq,sprague dawley rat,Charles River Laboratories,3110,No
790688,4yLhCZIBPBHhf-iFeNcq,tween 20,Merck Group,3102,No
726692,XCLhCZIBPBHhf-iFeOks,milli q system,Merck Group,3101,No
726533,kCLhCZIBPBHhf-iFeNgq,mirvana mirna isolation kit,Thermo Fisher Scientific,3091,No
591344,1yLhCZIBPBHhf-iFeOos,spss statistics version 22,IBM,3084,No
426940,-CLhCZIBPBHhf-iFeNEp,spss version,IBM,3082,No
726593,MyLhCZIBPBHhf-iFeOQr,facscan,BD,3082,No
726879,MyLhCZIBPBHhf-iFeOUs,hiseq platform,Illumina,3071,No
726789,4SPhCZIBPBHhf-iFnQEv,hek293t cell,American Type Culture Collection,3066,No
592748,eCLhCZIBPBHhf-iFeM8p,stepone real time pcr system,Thermo Fisher Scientific,3058,No
726698,5SLhCZIBPBHhf-iFeNMq,chemidoc imaging system,Bio-Rad,3045,No
640078,hyLhCZIBPBHhf-iFnfsv,cytoflex,Beckman Coulter,3035,No
591058,4yLhCZIBPBHhf-iFeOEr,7900ht fast real time pcr system,Thermo Fisher Scientific,3033,No
637589,ayLhCZIBPBHhf-iFeNMq,96 well plate,Corning,3030,No
579021,SSPhCZIBPBHhf-iFqyCY,m mlv reverse transcriptase,Thermo Fisher Scientific,3019,No
876731,9SLhCZIBPBHhf-iFeNIq,trypsin,Promega,3007,No
790435,nCLhCZIBPBHhf-iFeNYq,nanodrop 1000,Thermo Fisher Scientific,2999,No
591091,pSLhCZIBPBHhf-iFeM4p,celltiter glo luminescent cell viability assay,Promega,2988,No
